zipcode,year,month,crime_rate
02026,2015,6,0.0009
02026,2015,7,0.0012
02026,2015,8,0.0011
02026,2015,9,0.0014
02026,2015,10,0.0016
02026,2015,11,0.0012
02026,2015,12,0.0008
02026,2016,1,0.0009
02026,2016,2,0.0012
02026,2016,3,0.0012
02026,2016,4,0.0014
02026,2016,5,0.0015
02026,2016,6,0.0011
02026,2016,7,0.0009
02026,2016,8,0.0012
02026,2016,9,0.0013
02026,2016,10,0.0017
02026,2016,11,0.0011
02026,2016,12,0.0017
02026,2017,1,0.0012
02026,2017,2,0.0014
02026,2017,3,0.0011
02026,2017,4,0.0011
02026,2017,5,0.0011
02026,2017,6,0.0013
02026,2017,7,0.0017
02026,2017,8,0.0020
02026,2017,9,0.0011
02026,2017,10,0.0013
02026,2017,11,0.0015
02026,2017,12,0.0015
02026,2018,1,0.0014
02026,2018,2,0.0011
02026,2018,3,0.0014
02026,2018,4,0.0013
02026,2018,5,0.0010
02026,2018,6,0.0015
02026,2018,7,0.0018
02026,2018,8,0.0021
02026,2018,9,0.0014
02026,2018,10,0.0000
02108,2015,6,0.0069
02108,2015,7,0.0168
02108,2015,8,0.0225
02108,2015,9,0.0190
02108,2015,10,0.0180
02108,2015,11,0.0131
02108,2015,12,0.0148
02108,2016,1,0.0183
02108,2016,2,0.0143
02108,2016,3,0.0195
02108,2016,4,0.0225
02108,2016,5,0.0198
02108,2016,6,0.0190
02108,2016,7,0.0185
02108,2016,8,0.0180
02108,2016,9,0.0173
02108,2016,10,0.0205
02108,2016,11,0.0146
02108,2016,12,0.0175
02108,2017,1,0.0168
02108,2017,2,0.0138
02108,2017,3,0.0141
02108,2017,4,0.0133
02108,2017,5,0.0151
02108,2017,6,0.0175
02108,2017,7,0.0190
02108,2017,8,0.0180
02108,2017,9,0.0185
02108,2017,10,0.0158
02108,2017,11,0.0168
02108,2017,12,0.0119
02108,2018,1,0.0094
02108,2018,2,0.0101
02108,2018,3,0.0094
02108,2018,4,0.0141
02108,2018,5,0.0153
02108,2018,6,0.0212
02108,2018,7,0.0175
02108,2018,8,0.0175
02108,2018,9,0.0163
02108,2018,10,0.0015
02109,2015,6,0.0177
02109,2015,7,0.0433
02109,2015,8,0.0406
02109,2015,9,0.0446
02109,2015,10,0.0413
02109,2015,11,0.0374
02109,2015,12,0.0314
02109,2016,1,0.0366
02109,2016,2,0.0296
02109,2016,3,0.0364
02109,2016,4,0.0376
02109,2016,5,0.0428
02109,2016,6,0.0384
02109,2016,7,0.0389
02109,2016,8,0.0438
02109,2016,9,0.0456
02109,2016,10,0.0359
02109,2016,11,0.0326
02109,2016,12,0.0354
02109,2017,1,0.0346
02109,2017,2,0.0299
02109,2017,3,0.0394
02109,2017,4,0.0369
02109,2017,5,0.0359
02109,2017,6,0.0431
02109,2017,7,0.0408
02109,2017,8,0.0528
02109,2017,9,0.0416
02109,2017,10,0.0441
02109,2017,11,0.0423
02109,2017,12,0.0411
02109,2018,1,0.0344
02109,2018,2,0.0374
02109,2018,3,0.0376
02109,2018,4,0.0421
02109,2018,5,0.0451
02109,2018,6,0.0386
02109,2018,7,0.0481
02109,2018,8,0.0496
02109,2018,9,0.0418
02109,2018,10,0.0020
02110,2015,6,0.0212
02110,2015,7,0.0452
02110,2015,8,0.0617
02110,2015,9,0.0617
02110,2015,10,0.0758
02110,2015,11,0.0593
02110,2015,12,0.0476
02110,2016,1,0.0471
02110,2016,2,0.0537
02110,2016,3,0.0494
02110,2016,4,0.0485
02110,2016,5,0.0414
02110,2016,6,0.0476
02110,2016,7,0.0636
02110,2016,8,0.0612
02110,2016,9,0.0560
02110,2016,10,0.0621
02110,2016,11,0.0523
02110,2016,12,0.0433
02110,2017,1,0.0461
02110,2017,2,0.0490
02110,2017,3,0.0527
